EmpNo,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Dept,salary
A105,0.43,0.52,2,158,3,0,1,0,sales,medium
A106,0.24,0.46,7,224,5,0,1,0,accounting,medium
A107,0.91,1,4,257,5,0,1,0,accounting,medium
A108,0.44,0.5,2,148,3,0,1,0,accounting,medium
A109,0.71,0.87,3,177,4,0,1,0,hr,medium
A110,0.4,0.49,2,155,3,0,1,0,hr,medium
A111,0.43,0.47,2,144,3,0,1,0,hr,medium
A112,0.09,0.85,6,289,4,0,1,0,hr,high
A113,0.43,0.52,2,160,3,0,1,0,technical,low
A114,0.9,0.96,4,258,5,0,1,0,technical,medium
A115,0.84,1,5,234,5,0,1,0,technical,medium
A116,0.37,0.48,2,137,3,0,1,0,technical,medium
A117,0.86,0.68,5,263,2,0,1,0,technical,medium
A118,0.11,0.84,6,251,4,0,1,0,technical,low
A119,0.37,0.57,2,133,3,0,1,0,technical,low
A120,0.4,0.46,2,132,3,0,1,0,technical,low
A121,0.14,0.62,4,158,4,1,1,0,technical,low
A122,0.4,0.46,2,135,3,0,1,0,technical,low
A123,0.75,1,4,216,6,0,1,0,technical,low
A124,0.11,0.84,6,300,5,1,1,0,support,low
A125,0.46,0.49,2,138,3,0,1,0,support,low
A126,0.11,0.92,6,260,4,0,1,0,support,low
A127,0.38,0.49,2,132,3,0,1,0,support,low
A128,0.7,0.89,3,183,5,0,1,0,support,low
A129,0.09,0.82,6,250,4,0,1,0,support,low
A130,0.37,0.45,2,151,3,0,1,0,support,low
A131,0.1,0.83,6,292,4,0,1,0,support,low
A132,0.38,0.57,2,140,3,0,1,0,support,low
A133,0.9,1,5,221,5,0,1,0,support,low
A134,0.44,0.51,2,138,3,0,1,0,support,low
A135,0.36,0.5,2,132,3,0,1,0,technical,low
A136,0.31,0.84,7,133,5,0,1,0,technical,low
A137,0.1,0.84,6,283,4,1,1,0,technical,low
A138,0.42,0.48,2,129,3,0,1,0,management,low
A139,0.74,1,4,249,5,0,1,0,IT,low
A140,0.73,0.87,5,257,5,0,1,0,IT,low
A141,0.09,0.96,6,245,4,0,1,0,IT,low
A142,0.45,0.53,2,155,3,0,1,0,IT,low
A143,0.11,0.8,6,256,4,0,1,0,IT,low
A144,0.37,0.47,2,152,3,0,1,0,product_mng,low
A145,0.84,0.99,4,267,5,0,1,0,product_mng,low
A146,0.41,0.46,2,151,3,0,1,0,product_mng,low
A147,0.76,0.92,4,239,5,0,1,0,product_mng,low
A148,0.11,0.87,6,306,4,0,1,0,IT,low
A149,0.84,0.88,4,263,5,1,1,0,marketing,low
A150,0.39,0.5,2,147,3,0,1,0,marketing,low
A151,0.11,0.91,6,278,4,0,1,0,marketing,low
A152,0.45,0.56,2,154,3,0,1,0,marketing,low
A153,0.37,0.52,2,143,3,0,1,0,marketing,low
A154,0.4,0.52,2,155,3,0,1,0,marketing,low
A155,0.39,0.48,2,160,3,0,1,0,sales,low
A156,0.11,0.8,6,304,4,0,1,0,accounting,low
A157,0.83,1,5,240,5,0,1,0,support,low
A158,0.11,0.92,6,305,4,0,1,0,technical,low
A159,0.39,0.5,2,136,3,0,1,0,management,low
A160,0.45,0.45,2,132,3,0,1,0,marketing,low
A161,0.1,0.95,7,301,4,0,1,0,marketing,low
A162,0.9,0.98,5,243,6,0,1,0,marketing,low
A163,0.45,0.51,2,147,3,0,1,0,sales,low
A164,0.79,0.89,5,239,5,0,1,0,sales,low
A165,0.9,0.99,5,260,5,0,1,0,sales,low
A166,0.11,0.84,7,296,4,0,1,0,sales,low
A167,0.43,0.55,2,129,3,0,1,0,sales,low
A168,0.31,0.54,5,132,5,0,1,0,sales,low
A169,0.32,0.5,2,135,5,0,1,0,sales,low
A170,0.45,0.57,2,158,3,0,1,0,sales,low
A171,0.81,0.99,4,259,5,0,1,0,sales,low
A172,0.41,0.46,2,160,3,0,1,1,sales,low
A173,0.11,0.78,7,278,4,0,1,0,sales,low
A174,0.1,0.88,6,284,4,0,1,0,sales,low
A175,0.7,0.53,2,274,4,0,1,0,sales,low
A176,0.54,0.74,4,164,2,0,1,0,sales,low
A177,0.41,0.48,2,148,3,0,1,0,sales,low
A178,0.38,0.5,2,140,3,0,1,0,sales,medium
A179,0.37,0.51,2,127,3,0,1,0,sales,medium
A180,0.11,0.85,6,308,5,0,1,0,sales,medium
A181,0.4,0.47,2,146,3,0,1,0,sales,medium
A182,0.1,0.84,6,261,4,0,1,0,accounting,medium
A183,0.89,0.99,5,257,5,0,1,0,accounting,medium
A184,0.11,0.8,6,285,4,0,1,0,accounting,medium
A185,0.36,0.55,2,141,3,0,1,0,hr,medium
A186,0.4,0.46,2,127,3,0,1,0,hr,medium
A187,0.09,0.85,6,297,4,0,1,0,hr,medium
A188,0.4,0.46,2,143,3,0,1,0,hr,medium
A189,0.37,0.55,2,152,3,0,1,0,technical,medium
A190,0.44,0.51,2,156,3,0,1,0,technical,high
A191,0.09,0.8,7,283,5,0,1,0,technical,low
A192,0.92,0.87,4,226,6,1,1,0,technical,medium
A193,0.74,0.91,4,232,5,0,1,0,technical,medium
A194,0.09,0.82,6,249,4,0,1,0,technical,medium
A195,0.89,0.95,4,275,5,0,1,0,technical,medium
A196,0.09,0.8,6,304,4,0,1,0,technical,low
A197,0.27,0.54,7,278,3,0,1,0,technical,low
A198,0.1,0.91,6,287,4,0,1,0,technical,low
A199,0.1,0.89,7,285,4,0,1,0,technical,low
A200,0.77,0.94,5,226,6,0,1,0,support,low
A201,0.9,0.82,5,259,5,0,1,0,support,low
A202,0.39,0.5,2,135,3,0,1,0,support,low
A203,0.76,1,5,219,5,0,1,0,support,low
A204,0.1,0.93,6,256,4,0,1,0,support,low
A205,0.87,0.9,5,254,6,0,1,0,support,low
A206,0.38,0.5,2,153,3,0,1,0,support,low
A207,0.77,0.99,5,228,5,0,1,0,support,low
A208,0.78,0.87,4,228,5,0,1,0,support,low
A209,0.44,0.5,2,128,3,0,1,0,support,low
A210,0.38,0.52,2,153,3,0,1,0,support,low
A211,0.43,0.46,2,156,3,0,1,0,technical,low
A212,0.39,0.5,4,294,3,0,1,0,technical,low
A213,0.88,1,5,219,5,0,1,0,technical,low
A214,0.45,0.46,2,153,3,0,1,0,management,low
A215,0.4,0.53,2,151,3,0,1,0,IT,low
A216,0.36,0.51,2,155,3,0,1,0,IT,low
A217,0.36,0.48,2,158,3,0,1,0,IT,low
A218,0.9,0.98,5,245,5,0,1,0,IT,low
A219,0.43,0.53,2,131,3,0,1,0,IT,low
A220,0.89,0.87,5,225,5,0,1,0,product_mng,low
A221,0.1,0.84,6,286,4,0,1,0,product_mng,low
A222,0.37,0.5,2,135,3,0,1,0,product_mng,low
A223,0.37,0.51,2,153,3,0,1,0,product_mng,low
A224,0.87,0.9,5,252,5,0,1,0,IT,low
A225,0.4,0.56,2,149,3,0,1,0,accounting,low
A226,0.9,0.97,4,258,5,0,1,0,accounting,low
A227,0.37,0.46,2,158,3,0,1,0,hr,low
A228,0.44,0.54,2,149,3,0,1,0,hr,low
A229,0.85,0.95,5,236,5,0,1,0,hr,low
A230,0.78,0.98,5,239,6,0,1,0,marketing,low
A231,0.42,0.47,2,159,3,0,1,0,marketing,low
A232,0.92,0.99,5,255,6,0,1,0,sales,low
A233,0.11,0.83,6,244,4,0,1,0,accounting,low
A234,0.42,0.56,2,134,3,0,1,0,support,low
A235,0.48,0.57,4,270,4,0,1,0,technical,low
A236,0.83,0.85,4,255,5,0,1,0,management,low
A237,0.4,0.53,2,151,3,0,1,0,marketing,low
A238,0.43,0.45,2,135,3,0,1,0,marketing,low
A239,0.43,0.53,2,146,3,0,1,0,marketing,low
A240,0.1,0.97,7,254,4,0,1,0,sales,low
A241,0.1,0.87,7,289,4,0,1,0,sales,low
A242,0.37,0.46,2,156,3,0,1,0,sales,low
A243,0.38,0.53,2,156,3,0,1,0,sales,low
A244,0.4,0.5,2,128,3,0,1,0,sales,low
A245,0.89,0.86,5,275,5,0,1,0,sales,low
A246,0.45,0.46,2,155,3,0,1,0,sales,low
A247,0.37,0.48,2,159,3,0,1,0,sales,low
A248,0.46,0.49,2,148,3,0,1,0,sales,low
A249,0.87,0.91,4,228,5,0,1,0,sales,low
A250,0.11,0.84,6,298,4,0,1,0,sales,low
A251,0.79,0.87,5,261,5,0,1,0,sales,low
A252,0.79,0.92,5,254,6,0,1,0,sales,low
A253,0.19,0.59,7,192,3,0,1,0,sales,low
A254,0.87,0.98,4,248,5,0,1,0,sales,low
A255,0.6,0.92,2,258,5,0,1,0,sales,low
A256,0.44,0.45,2,156,3,0,1,0,sales,medium
A257,0.11,0.81,6,266,4,1,1,0,sales,medium
A258,0.42,0.54,2,156,3,0,1,0,sales,medium
A259,0.88,0.88,5,232,5,1,1,0,accounting,medium
A260,0.11,0.84,6,287,4,0,1,0,accounting,medium
A261,0.46,0.46,2,154,3,0,1,0,accounting,medium
A262,0.82,0.97,5,263,5,0,1,0,hr,medium
A263,0.44,0.56,2,131,3,0,1,0,hr,medium
A264,0.11,0.78,6,260,4,0,1,0,hr,medium
A265,0.42,0.5,2,139,3,0,1,0,hr,medium
A266,0.84,0.93,4,251,5,0,1,0,technical,medium
A267,0.11,0.95,6,286,4,0,1,0,technical,medium
A268,0.45,0.53,2,129,3,0,1,0,technical,high
A269,0.38,0.56,2,156,3,0,1,0,technical,low
A270,0.38,0.86,6,139,6,0,1,0,technical,medium
A271,0.44,0.51,2,127,3,0,1,0,technical,medium
A272,0.11,0.84,6,251,4,0,1,0,technical,medium
A273,0.81,0.93,5,270,5,0,1,0,technical,medium
A274,0.09,0.96,6,296,4,0,1,0,technical,low
A275,0.11,0.9,6,254,4,0,1,0,technical,low
A276,0.81,0.95,5,238,6,0,1,0,technical,low
A277,0.1,0.97,6,267,4,1,1,0,support,low
A278,0.74,0.89,5,229,6,0,1,0,support,low
A279,0.09,0.78,6,254,4,0,1,0,support,low
A280,0.82,0.81,4,233,4,1,1,0,support,low
A281,0.1,0.98,6,268,4,0,1,0,support,low
A282,0.27,0.56,3,301,3,0,1,0,support,low
A283,0.83,0.92,5,267,6,0,1,0,support,low
A284,0.1,0.93,6,289,4,1,1,0,support,low
A285,0.38,0.47,2,144,3,0,1,0,support,low
A286,0.4,0.56,2,148,3,0,1,0,support,low
A287,0.11,0.83,6,306,4,0,1,0,support,low
A288,0.11,0.79,6,292,4,0,1,1,technical,low
A289,0.82,0.91,5,232,5,0,1,0,technical,low
A290,0.36,0.48,2,137,3,0,1,0,technical,low
A291,0.4,0.46,2,128,3,0,1,0,management,low
A292,0.87,0.84,5,231,5,0,1,0,IT,low
A293,0.41,0.49,2,146,3,0,1,0,IT,low
A294,0.11,0.91,6,308,4,1,1,0,IT,low
A295,0.1,0.93,6,253,4,0,1,0,IT,medium
A296,0.38,0.51,2,146,3,0,1,0,IT,medium
A297,0.39,0.55,2,156,3,0,1,0,product_mng,medium
A298,0.4,0.52,2,147,3,0,1,0,product_mng,medium
A299,0.45,0.48,2,136,3,0,1,0,product_mng,medium
A300,0.74,0.84,5,249,5,0,1,0,product_mng,medium
A301,0.45,0.55,2,151,3,0,1,0,IT,medium
A302,0.12,1,3,278,4,0,1,0,RandD,medium
A303,0.1,0.77,7,250,5,0,1,0,RandD,medium
A304,0.37,0.55,2,127,3,0,1,0,RandD,medium
A305,0.89,0.87,5,255,5,0,1,0,RandD,medium
A306,0.45,0.47,2,135,3,0,1,0,RandD,medium
A307,0.37,0.46,2,149,3,0,1,0,marketing,high
A308,0.11,0.81,5,287,4,0,1,0,sales,low
A309,0.41,0.48,2,145,3,0,1,0,accounting,medium
A310,0.1,0.94,6,285,4,0,1,0,support,medium
A311,0.1,0.93,7,305,4,0,1,0,technical,medium
A312,0.11,0.95,7,300,4,0,1,0,management,medium
A313,0.4,0.54,2,139,3,0,1,0,marketing,low
A314,0.41,0.49,2,130,3,0,1,0,marketing,low
A315,0.1,0.81,6,268,4,0,1,0,marketing,low
A316,0.73,0.86,4,245,6,0,1,0,sales,low
A317,0.43,0.47,2,135,3,0,1,0,sales,low
A318,0.37,0.46,2,153,3,0,1,0,sales,low
A319,0.11,0.94,6,276,4,0,1,0,sales,low
A320,0.4,0.46,2,130,3,0,1,0,sales,low
A321,0.41,0.54,2,153,3,1,1,0,sales,low
A322,0.82,0.84,5,244,5,0,1,0,sales,low
A323,0.61,0.47,2,253,3,0,1,0,sales,low
A324,0.11,0.91,7,287,4,0,1,0,sales,low
A325,0.37,0.45,2,131,3,0,1,0,sales,low
A326,0.41,0.52,2,135,3,0,1,0,sales,low
A327,0.37,0.52,2,157,3,0,1,0,sales,low
A328,0.88,0.99,5,262,6,0,1,0,sales,low
A329,0.1,0.85,6,266,4,0,1,0,sales,low
A330,0.44,0.48,2,148,3,0,1,0,sales,low
A331,0.38,0.57,2,140,3,0,1,0,sales,low
A332,0.11,0.85,7,302,4,0,1,0,sales,low
A333,0.09,0.98,6,271,4,0,1,0,sales,low
A334,0.45,0.52,2,145,3,0,1,0,sales,medium
A335,0.1,0.81,6,290,4,0,1,0,accounting,medium
A336,0.45,0.47,2,151,3,0,1,0,accounting,medium
A337,0.77,0.87,5,266,5,0,1,0,accounting,medium
A338,0.44,0.51,2,140,3,0,1,0,hr,medium
A339,0.39,0.5,2,142,3,0,1,0,hr,medium
A340,0.1,0.91,6,246,4,0,1,0,hr,medium
A341,0.09,0.89,7,308,5,0,1,0,hr,medium
A342,0.37,0.47,2,141,3,0,1,0,technical,medium
A343,0.9,1,5,232,5,0,1,0,technical,medium
A344,0.41,0.56,2,143,3,0,1,0,technical,medium
A345,0.37,0.52,2,155,3,0,1,0,technical,medium
A346,0.1,0.86,6,278,4,0,1,0,technical,high
A347,0.81,1,4,253,5,0,1,0,technical,low
A348,0.11,0.8,6,282,4,0,1,0,technical,medium
A349,0.11,0.84,7,264,4,0,1,0,technical,medium
A350,0.4,0.46,2,149,3,0,1,0,technical,medium
A351,0.09,0.8,6,304,5,0,1,0,technical,medium
A352,0.48,0.93,3,219,6,0,1,0,technical,low
A353,0.91,0.91,4,262,6,0,1,0,support,low
A354,0.43,0.57,2,135,3,0,1,0,support,low
A355,0.33,0.88,6,219,5,0,1,0,support,low
A356,0.41,0.57,2,136,3,0,1,0,support,low
A357,0.41,0.55,2,154,3,0,1,0,support,low
A358,0.37,0.54,2,149,3,0,1,0,support,low
A359,0.31,0.62,6,135,5,0,1,0,support,low
A360,0.09,0.91,6,275,4,0,1,0,support,low
A361,0.1,0.87,6,290,4,0,1,0,support,low
A362,0.76,0.9,4,263,5,0,1,0,support,low
A363,0.41,0.54,2,145,3,0,1,0,support,low
A364,0.72,0.96,5,267,5,0,1,0,technical,low
A365,0.4,0.5,2,141,3,1,1,0,technical,low
A366,0.91,0.87,4,235,5,0,1,0,technical,low
A367,0.1,0.83,6,258,4,0,1,0,management,low
A368,0.4,0.56,2,131,3,0,1,0,IT,low
A369,0.82,0.86,5,243,5,0,1,0,IT,low
A370,0.1,0.82,6,266,4,0,1,0,IT,low
A371,0.37,0.45,2,142,3,0,1,0,IT,low
A372,0.36,0.51,2,135,3,0,1,0,IT,low
A373,0.39,0.48,2,141,3,0,1,0,product_mng,medium
A374,0.36,0.57,2,142,3,0,1,0,product_mng,medium
A375,0.86,0.84,5,254,5,0,1,0,product_mng,medium
A376,0.73,0.99,5,262,5,0,1,0,product_mng,medium
A377,0.56,0.71,4,296,2,0,1,0,IT,medium
A378,0.44,0.56,2,158,3,0,1,0,accounting,medium
A379,0.31,0.56,4,238,2,0,1,0,accounting,medium
A380,0.77,0.93,4,231,5,0,1,0,hr,medium
A381,0.44,0.45,2,156,3,0,1,0,hr,medium
A382,0.38,0.46,2,145,3,0,1,0,hr,medium
A383,0.45,0.48,2,144,3,0,1,0,marketing,medium
A384,0.38,0.51,2,159,3,0,1,0,sales,medium
A385,0.36,0.48,2,156,3,0,1,0,accounting,high
A386,0.75,0.9,5,256,5,0,1,0,support,low
A387,0.1,0.93,6,298,4,0,1,0,technical,medium
A388,0.1,0.97,6,247,4,0,1,0,management,medium
A389,0.45,0.5,2,157,3,0,1,0,marketing,medium
A390,0.42,0.57,2,154,3,1,1,0,marketing,medium
A391,0.78,1,4,253,5,0,1,0,marketing,low
A392,0.45,0.55,2,148,3,0,1,0,sales,low
A393,0.84,1,4,261,5,0,1,0,sales,low
A394,0.11,0.93,6,282,4,0,1,0,sales,low
A395,0.42,0.56,2,133,3,0,1,0,sales,low
A396,0.45,0.46,2,128,3,0,1,0,sales,low
A397,0.46,0.57,2,139,3,0,1,0,sales,low
A398,0.09,0.79,6,293,5,0,1,0,sales,low
A399,0.87,0.83,4,265,6,0,1,0,sales,low
A400,0.1,0.87,6,250,4,0,1,0,sales,low
A401,0.91,1,5,251,6,0,1,0,sales,low
A402,0.76,0.92,4,246,5,0,1,0,sales,low
A403,0.74,1,5,275,5,0,1,0,sales,low
A404,0.92,0.93,5,240,5,0,1,0,sales,low
A405,0.76,0.87,5,245,5,0,1,0,sales,low
A406,0.47,0.5,4,254,4,0,1,0,sales,low
A407,0.73,0.99,5,241,5,0,1,0,sales,low
A408,0.09,0.94,6,257,4,0,1,0,sales,low
A409,0.91,0.92,4,246,5,0,1,0,sales,low
A410,0.82,0.98,4,233,5,0,1,0,sales,low
A411,0.28,0.45,6,218,4,0,1,0,accounting,low
A412,0.84,0.99,4,262,6,0,1,0,accounting,medium
A413,0.45,0.53,2,138,3,0,1,0,accounting,medium
A414,0.45,0.54,2,142,3,0,1,0,hr,medium
A415,0.91,0.97,5,233,5,0,1,0,hr,medium
A416,0.42,0.48,2,155,3,0,1,0,hr,medium
A417,0.82,1,4,229,6,0,1,0,hr,medium
A418,0.11,0.9,6,264,4,0,1,0,technical,medium
A419,0.42,0.53,3,199,4,0,1,0,technical,medium
A420,0.82,0.85,4,223,5,0,1,0,technical,medium
A421,0.09,0.96,6,268,4,0,1,0,technical,medium
A422,0.1,0.94,6,287,4,0,1,0,technical,medium
A423,0.86,1,5,257,5,0,1,0,technical,medium
A424,0.4,0.46,2,143,3,0,1,0,technical,high
A425,0.45,0.46,2,130,3,0,1,0,technical,low
A426,0.42,0.51,2,136,3,0,1,0,technical,medium
A427,0.74,0.92,4,261,5,0,1,0,technical,medium
A428,0.55,0.6,3,180,4,0,1,0,technical,medium
A429,0.37,0.45,2,126,3,0,1,0,support,medium
A430,0.41,0.52,2,127,3,1,1,0,support,low
A431,0.89,0.65,5,195,6,0,1,0,support,low
A432,0.41,0.57,2,160,3,0,1,0,support,low
A433,0.44,0.51,2,150,3,0,1,0,support,low
A434,0.87,0.84,4,264,6,0,1,0,support,low
A435,0.1,0.84,6,309,4,0,1,0,support,low
A436,0.41,0.47,2,135,3,0,1,0,support,low
A437,0.11,0.85,6,261,4,0,1,0,support,low
A438,0.43,0.53,2,160,3,0,1,0,support,low
A439,0.77,0.9,4,237,5,0,1,0,support,low
A440,0.41,0.52,2,136,3,0,1,0,technical,low
A441,0.41,0.48,2,139,3,0,1,0,technical,low
A442,0.36,0.78,2,151,4,0,1,0,technical,low
A443,0.77,1,5,229,5,0,1,0,management,low
A444,0.81,0.98,5,245,5,0,1,0,IT,low
A445,0.39,0.54,2,127,3,0,1,0,IT,low
A446,0.09,0.94,6,283,5,0,1,0,IT,low
A447,0.44,0.46,2,143,3,0,1,0,IT,low
A448,0.1,0.84,5,298,4,0,1,0,IT,low
A449,0.36,0.48,2,159,3,0,1,0,product_mng,low
A450,0.81,0.92,5,239,5,0,1,0,product_mng,low
A451,0.81,0.9,4,226,5,0,1,0,product_mng,medium
A452,0.85,0.98,5,248,5,0,1,0,product_mng,medium
A453,0.1,0.87,6,286,4,0,1,0,IT,medium
A454,0.37,0.54,2,145,3,0,1,0,RandD,medium
A455,0.09,0.97,7,254,4,1,1,0,RandD,medium
A456,0.44,0.53,2,127,3,0,1,0,RandD,medium
A457,0.86,0.93,5,223,5,0,1,0,RandD,medium
A458,0.77,1,4,255,5,0,1,0,RandD,medium
A459,0.41,0.48,2,136,3,0,1,0,marketing,medium
A460,0.4,0.48,2,137,3,0,1,0,sales,medium
A461,0.43,0.49,2,135,3,0,1,0,accounting,medium
A462,0.43,0.5,2,137,3,0,1,0,support,medium
A463,0.8,0.53,3,255,5,0,1,0,technical,high
A464,0.8,0.85,4,273,5,0,1,0,management,low
A465,0.82,0.98,5,234,5,0,1,0,marketing,medium
A466,0.37,0.54,2,152,3,0,1,0,marketing,medium
A467,0.37,0.48,2,134,3,0,1,0,marketing,medium
A468,0.09,0.95,6,292,4,0,1,0,sales,medium
A469,0.9,0.92,5,245,5,0,1,0,sales,low
A470,0.41,0.52,2,159,3,0,1,0,sales,low
A471,0.1,0.85,6,260,4,0,1,0,sales,low
A472,0.44,0.53,2,149,3,0,1,0,sales,low
A473,0.89,0.85,5,266,5,0,1,0,sales,low
A474,0.42,0.56,2,149,3,0,1,0,sales,low
A475,0.87,1,5,242,5,0,1,0,sales,low
A476,0.45,0.57,2,134,3,0,1,0,sales,low
A477,0.11,0.87,5,271,4,0,1,0,sales,low
A478,0.09,0.79,6,275,4,0,1,0,sales,low
A479,0.76,0.83,5,227,5,0,1,0,sales,low
A480,0.11,0.96,7,277,5,0,1,0,sales,low
A481,0.37,0.49,2,151,3,0,1,0,sales,low
A482,0.1,0.79,6,274,4,0,1,0,sales,low
A483,0.77,0.87,4,242,6,0,1,0,sales,low
A484,0.42,0.54,2,143,3,1,1,0,sales,low
A485,0.38,0.52,2,145,3,0,1,0,sales,low
A486,0.32,0.95,5,172,2,0,1,0,sales,low
A487,0.38,0.49,2,135,3,0,1,0,accounting,low
A488,0.19,1,4,192,4,0,1,0,accounting,low
A489,0.1,0.83,7,276,4,0,1,0,accounting,low
A490,0.76,0.88,4,206,4,0,1,0,hr,medium
